benchmark,solver,status,cpu time,wallclock time,memory usage,result,exprs-details,syntax-error,adheres,smt-result,exprs-total-size,correct,,,
General-Track/array_search_3.sl,sketch-ac-tmp,complete,6.80396,4.13966,34700000,correct,(findIdx 16),-,1,sat,16,1,,,
General-Track/array_search_3.sl,sygus-sketch-new-bug-fix,complete,5.05623,3.57127,34300000,correct,(findIdx 16),-,1,sat,16,1,,,
General-Track/array_search_3.sl,Sosy Toast,timeout (wallclock),3582.65,3600.02,1254048,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_3.sl,Sosy Toast Variant 2,timeout (wallclock),3583.04,3600.02,1249080,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_3.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.08,3599.01,14000000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_4.sl,CVC4-1.5-syguscomp2015-v4,complete,0.049992,0.050676,106088,correct,(findIdx 256),-,1,sat,256,1,,,
General-Track/array_search_4.sl,sygus-sketch-new-bug-fix,complete,89.3654,74.4359,34600000,wrong,(findIdx 31),-,1,unsat,31,0,,,
General-Track/array_search_4.sl,sketch-ac-tmp,complete,16.3676,7.96684,35000000,wrong,(findIdx 26),-,1,unsat,26,0,,,
General-Track/array_search_4.sl,Enumerative Solver,complete,1843.48,1842.73,870596,correct,(findIdx 21),-,1,sat,21,1,,,
General-Track/array_search_4.sl,Sosy Toast,timeout (wallclock),3587.66,3600.02,1050068,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_4.sl,Sosy Toast Variant 2,timeout (wallclock),3586.32,3600.02,1050120,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_4.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.01,3598.81,13900000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_5.sl,CVC4-1.5-syguscomp2015-v4,complete,0.073988,0.0728369,106088,correct,(findIdx 631),-,1,sat,631,1,,,
General-Track/array_search_5.sl,sketch-ac-tmp,complete,24.0196,24.0481,35100000,correct,(findIdx 31),-,1,sat,31,1,,,
General-Track/array_search_5.sl,sygus-sketch-new-bug-fix,complete,17.2929,9.743,34400000,correct,(findIdx 26),-,1,sat,26,1,,,
General-Track/array_search_5.sl,Enumerative Solver,timeout (cpu),3600.01,3598.33,530024,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_5.sl,Sosy Toast,timeout (wallclock),3591.56,3600.02,968396,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_5.sl,Sosy Toast Variant 2,timeout (wallclock),3589.93,3600.02,994816,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_5.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.1,3599.22,13900000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_6.sl,CVC4-1.5-syguscomp2015-v4,complete,0.105983,0.101903,106088,correct,(findIdx 1636),-,1,sat,1636,1,,,
General-Track/array_search_6.sl,sketch-ac-tmp,complete,45.0062,15.0518,35100000,correct,(findIdx 31),-,1,sat,31,1,,,
